#  DeltaF, Fb, t0, u0, tE, rho
# 
9.627440000000000442e-01 2.190269999999999995e-01 7.886939999999999600e+03 1.356449999999999934e+00 6.977949999999999875e+00 3.526109999999999835e-03
9.481300000000000283e-01 2.218310000000000004e-01 7.886189999999999600e+03 1.417689999999999895e+00 6.419080000000000119e+00 4.819389999999999785e-03
9.078439999999999843e-01 2.156700000000000006e-01 7.885770000000000437e+03 7.076660000000000172e-01 1.049719999999999942e+01 9.401220000000000063e-03
9.118619999999999504e-01 2.005869999999999875e-01 7.885800000000000182e+03 1.066969999999999974e+00 8.358439999999999870e+00 6.915580000000000165e-03
9.030599999999999739e-01 2.127519999999999967e-01 7.886359999999999673e+03 9.255440000000000333e-01 9.714290000000000092e+00 1.702909999999999840e-02
9.416499999999999870e-01 2.227880000000000138e-01 7.886569999999999709e+03 1.316119999999999957e+00 7.220259999999999678e+00 4.156289999999999984e-03
8.890179999999999749e-01 2.231720000000000093e-01 7.886170000000000073e+03 1.484480000000000022e+00 6.894849999999999923e+00 2.904920000000000072e-02
9.291899999999999604e-01 2.079989999999999895e-01 7.886149999999999636e+03 8.414719999999999978e-01 9.899630000000000152e+00 1.684549999999999936e-02
9.963520000000000154e-01 2.211970000000000047e-01 7.885930000000000291e+03 1.052619999999999889e+00 7.465329999999999799e+00 2.576480000000000090e-02
9.563049999999999606e-01 2.120460000000000123e-01 7.886039999999999964e+03 7.633480000000000265e-01 9.829420000000000712e+00 7.430329999999999747e-03
9.314500000000000002e-01 2.155940000000000079e-01 7.885720000000000255e+03 6.831460000000000310e-01 1.116019999999999968e+01 3.400690000000000050e-03
9.936899999999999622e-01 2.165660000000000085e-01 7.885760000000000218e+03 1.341139999999999999e+00 6.800989999999999647e+00 6.208149999999999953e-03
9.283919999999999950e-01 2.100249999999999895e-01 7.885970000000000255e+03 1.140279999999999960e+00 7.681770000000000209e+00 7.867540000000000644e-02
9.421969999999999512e-01 2.139629999999999865e-01 7.886630000000000109e+03 1.252010000000000067e+00 7.326380000000000337e+00 1.736289999999999925e-03
9.748400000000000398e-01 2.056020000000000070e-01 7.886239999999999782e+03 1.081190000000000095e+00 8.487239999999999895e+00 1.171179999999999964e-02
9.994640000000000191e-01 2.212870000000000115e-01 7.885439999999999600e+03 1.208709999999999951e+00 6.671590000000000131e+00 3.323090000000000072e-02
9.831119999999999859e-01 2.122239999999999960e-01 7.885689999999999600e+03 6.635839999999999517e-01 1.009939999999999927e+01 1.620100000000000023e-04
9.334409999999999652e-01 2.176639999999999964e-01 7.886350000000000364e+03 7.979389999999999539e-01 1.006910000000000061e+01 2.892719999999999775e-04
9.714909999999999934e-01 2.201720000000000066e-01 7.885220000000000255e+03 9.665120000000000378e-01 7.467999999999999972e+00 7.064289999999999979e-03
8.991740000000000288e-01 2.131979999999999986e-01 7.886399999999999636e+03 1.235349999999999948e+00 7.902499999999999858e+00 6.503179999999999898e-03
9.425710000000000477e-01 2.011179999999999912e-01 7.886250000000000000e+03 9.226199999999999957e-01 9.571130000000000138e+00 3.846839999999999808e-03
9.562549999999999661e-01 2.128990000000000049e-01 7.885659999999999854e+03 5.409610000000000252e-01 1.232970000000000077e+01 4.241329999999999753e-03
