# DeltaF, Fb, t0, u0, tE, rho
0.975593 0.214901 7886.13 1.4994 6.37685 0.0116286
0.990562 0.215149 7886.05 1.33236 6.84253 0.000849006
0.983088 0.212785 7886.16 1.43583 6.49362 0.00400584
0.977214 0.225656 7885.84 1.4706 6.15315 0.00735161
0.892683 0.21063 7886.32 1.45992 7.04066 0.00871847
0.979003 0.215637 7886 1.44897 6.42075 0.00564948
0.934957 0.218606 7885.97 1.43921 6.60806 0.00650052
0.997202 0.20939 7885.8 1.23654 7.01018 0.0113544
0.985036 0.215044 7886.04 1.43608 6.46211 0.000131332
0.98314 0.214175 7886.07 1.47316 6.38728 0.00207338
0.993835 0.215078 7886 1.43454 6.43292 0.00698139
0.982672 0.216221 7885.99 1.49968 6.22634 0.00897761
0.98767 0.215162 7886 1.48356 6.28469 0.0207046
0.983964 0.2156 7886.07 1.49418 6.31638 0.0181471
0.542574 0.197621 7891.9 1.45038 12.8619 0.0231584
0.988549 0.215914 7885.98 1.49698 6.18946 0.0383708
0.993333 0.215975 7885.98 1.49417 6.22482 0.0026145
0.987503 0.216134 7886.01 1.49748 6.21929 0.0189297
0.989812 0.215809 7886 1.49194 6.22464 0.000145296
0.990633 0.215753 7886.03 1.46457 6.34025 0.0179059
0.802214 0.214501 7886.35 0.648194 11.2823 0.00837874
0.978354 0.215125 7886.05 1.45647 6.42076 0.0240735
0.991703 0.215431 7885.99 1.4976 6.21044 0.000301321
0.989142 0.215477 7886.02 1.49538 6.24658 0.019857
0.988594 0.215458 7886.02 1.4907 6.25281 0.0222041
0.9847 0.215369 7886.01 1.49285 6.27687 0.00856406
0.993251 0.215621 7886 1.44346 6.3575 0.0101409
0.990153 0.215767 7886.02 1.49941 6.22629 0.0290558
0.989577 0.215758 7886.03 1.4968 6.23344 0.0042146
0.989878 0.215426 7886.01 1.49948 6.21842 0.000780297
0.987141 0.215587 7886 1.4965 6.24052 0.0038609
0.460802 0.239526 7891.09 0.0352873 322.804 0.00177265
0.914077 0.205981 7882.98 0.11062 27.7946 0.00510233
0.989679 0.215643 7886.01 1.49962 6.23039 0.0165404
0.984681 0.215606 7886.02 1.49973 6.24733 0.00471407
0.98515 0.215422 7886.03 1.49878 6.25565 0.0140572
0.988883 0.215828 7886.02 1.49618 6.23515 0.0125223
0.986817 0.216077 7885.97 1.47446 6.27341 0.00489813
0.985133 0.215602 7886.01 1.49931 6.25101 0.0184485
0.922185 0.210572 7886.18 0.695763 10.948 0.0188215
0.985341 0.215445 7886.02 1.4995 6.24522 0.00689945
0.989613 0.215724 7886.03 1.49876 6.22333 0.00290818
0.995503 0.215675 7885.98 1.45636 6.32877 0.00826304
0.952169 0.214001 7886.01 1.23057 7.42519 0.000331042
0.988355 0.215667 7886.01 1.4993 6.23203 0.00395599
0.999791 0.215659 7886.01 1.48679 6.20368 0.0125159
0.983814 0.215497 7886.02 1.49662 6.27011 0.0033983
0.992341 0.214981 7885.95 1.2893 6.97895 0.013368
0.988479 0.215672 7886.01 1.49978 6.22844 0.00460987
0.996066 0.216133 7885.99 1.49883 6.18836 0.00107405
0.987288 0.215515 7886.01 1.49994 6.23496 0.0143853
0.992764 0.214991 7886.02 1.48008 6.29408 0.00121387
0.987096 0.215545 7886.02 1.49953 6.24779 0.0155657
0.97999 0.2154 7886.04 1.48745 6.31903 0.00278634
0.98544 0.215741 7886 1.49822 6.24089 0.000691082
0.986567 0.215635 7886 1.49979 6.22838 0.00590083
0.98772 0.215695 7886 1.49895 6.23053 0.010771
0.986102 0.215622 7886.01 1.49961 6.23559 0.00285834
0.986187 0.21568 7885.95 1.49274 6.224 0.0123139
0.987028 0.215643 7886.01 1.49993 6.23269 0.0268815
0.987066 0.215641 7886 1.49983 6.23164 0.00995046
0.986602 0.215594 7886.01 1.49991 6.23773 0.0069461
0.986855 0.215549 7886.01 1.49949 6.23416 0.00140555
0.987551 0.215622 7886.01 1.4997 6.23573 0.0030604
0.988867 0.215595 7886.01 1.49976 6.22245 0.000466972
0.988873 0.215575 7886.01 1.49972 6.22467 0.00314267
0.98738 0.215677 7886.01 1.4997 6.22874 0.0095726
0.986458 0.215515 7886.01 1.49988 6.23375 0.00138078
0.989202 0.215592 7886 1.49935 6.22458 0.00483942
0.989084 0.215697 7886 1.49991 6.21678 0.00170892
0.987516 0.215558 7886.01 1.49989 6.22967 0.00476018
0.987943 0.215546 7886.01 1.49971 6.22446 0.00280224
0.987887 0.215607 7886 1.49989 6.22802 0.00282044
0.986824 0.215563 7886.01 1.49918 6.22938 0.00871415
0.985682 0.215486 7886.01 1.49821 6.24733 0.00835416
0.988549 0.215581 7886.01 1.49998 6.22717 0.000121252
0.985933 0.215581 7886 1.49699 6.23411 0.00516307
0.988696 0.21565 7886.01 1.49971 6.22499 0.0118622
0.988254 0.215598 7886.02 1.49902 6.23958 0.00973066
0.987637 0.215566 7886.01 1.49988 6.22837 0.0148972
0.986315 0.215621 7886.01 1.49991 6.23248 0.00707448
0.987193 0.215573 7886.01 1.49998 6.23085 0.0207511
0.986816 0.215684 7886.01 1.4998 6.2324 0.0127777
0.981945 0.215438 7886.01 1.49718 6.24479 0.00524738
0.988538 0.215559 7886 1.49969 6.22598 0.0140022
0.911658 0.216552 7885.92 1.32173 7.29568 0.0165232
0.855258 0.190655 7887 1.15469 7.72804 0.029159
0.865583 0.22959 7885.7 1.05645 7.40485 0.00576931
0.665117 0.194183 7885.33 0.472618 28.6263 0.00272141
0.985156 0.215635 7886.01 1.49969 6.24863 0.00377955
0.983489 0.216076 7886.05 1.49764 6.27445 4.3513e-05
0.601933 0.212336 7892.84 0.383138 14.1138 0.00285625
0.542449 0.194625 7896.18 0.425576 25.3397 0.0088851
0.769293 0.217132 7886.47 0.803355 11.3067 0.00490516
0.200909 0.150933 7890.31 0.0800308 319.053 0.00557876
0.998978 0.2154 7885.96 1.43252 6.31521 0.00781884
0.665396 0.190971 7893.78 0.0310105 220.891 0.00130459
0.69597 0.240498 7341.34 1.18104 301.57 0.00655047
0.975024 0.215558 7885.5 0.798634 9.84849 0.00480399
0.974036 0.214919 7886.32 0.819154 9.68542 0.0117822
0.99214 0.195738 7888.3 0.172723 27.2533 0.0034538
0.902385 0.221433 7887.21 0.341386 18.9281 0.0244027
0.988152 0.215524 7886.01 1.49924 6.23342 0.00186884
0.964276 0.210516 7886.67 1.03447 8.49654 0.0034984
0.137372 0.0781074 7660.2 0.00526478 135.122 0.00553264
0.987534 0.215672 7886.01 1.49991 6.23159 0.0192925
0.974198 0.215523 7886.04 1.4489 6.45448 0.0198353
0.9884 0.215619 7886 1.49857 6.23359 0.00587172
0.998599 0.214547 7886.11 1.31627 6.86841 0.0228032
0.98627 0.215593 7886.01 1.4999 6.23992 0.00188142
0.951637 0.219579 7885.92 1.38967 6.45977 0.0037392
0.0215077 0.206669 7438.71 1.16467 88.468 0.0103766
0.981723 0.215398 7886.02 1.49094 6.27938 0.0281158
0.988294 0.215546 7886.01 1.49739 6.2339 0.000534621
0.985377 0.21597 7885.99 1.42763 6.43114 0.00484092
0.999996 0.214723 7885.88 0.97971 8.27597 0.00118585
0.993206 0.216246 7885.95 1.27249 6.95399 0.0183378
0.987418 0.215514 7886 1.4993 6.23078 0.00370012
0.98758 0.215611 7886.01 1.49958 6.23246 0.0004492
0.0353226 0.24694 7085.25 0.103215 103.776 0.0103097
0.979967 0.215235 7886.03 1.43687 6.45782 0.0123064
0.986904 0.215555 7886.01 1.49946 6.23207 0.0200065
0.987182 0.215552 7886.02 1.49802 6.24274 0.000266707
0.859139 0.201602 7887.48 1.11472 9.86369 0.0199786
0.983878 0.215467 7886.03 1.45442 6.39422 0.0233451
0.870162 0.219466 7886.25 1.35273 7.47673 0.0249468
0.986999 0.215652 7886.01 1.49955 6.23177 0.0286527
0.95366 0.218289 7886.17 1.40323 6.60198 0.0330676
0.98787 0.215602 7886 1.4995 6.23018 0.00213733
0.980784 0.215485 7886.03 1.46162 6.38351 0.0120679
0.923341 0.209934 7887.07 0.336058 19.8164 0.0376077
0.989807 0.215589 7886.02 1.48977 6.25237 0.000570467
0.980254 0.21569 7886.02 1.48036 6.32202 0.00518985
0.860594 0.214113 7885.84 0.528224 11.6572 0.00636738
0.129124 0.205914 7713.41 0.948251 179.725 0.0116021
0.98915 0.215784 7886.01 1.49833 6.22345 0.0221367
0.995852 0.21647 7885.95 1.48879 6.19653 0.0068168
0.990937 0.215456 7886.03 1.48193 6.27878 0.00418135
0.546225 0.0256805 7622.56 0.580732 102.212 0.00673986
0.874846 0.215475 7886.08 0.537185 14.8183 0.0126694
0.988301 0.215532 7886.01 1.4998 6.23181 0.00291341
0.980115 0.215902 7885.98 1.47655 6.34304 0.00361475
0.988376 0.215696 7886.01 1.49997 6.22474 0.00755248
0.987263 0.215672 7886.01 1.49897 6.22929 0.00315974
0.989483 0.215016 7886 1.4998 6.23626 0.00857608
0.987232 0.215609 7886.01 1.4994 6.23375 0.0039056
0.986001 0.215724 7886.01 1.49754 6.23632 0.0279294
0.992223 0.21566 7886 1.49429 6.21917 0.0020474
0.963908 0.214693 7886.04 1.40017 6.6951 0.0120346
0.911862 0.200587 7885.8 1.06697 8.35844 0.00691558
0.660593 0.230382 7884.16 1.21998 8.9616 4.75176e-05
0.985893 0.214706 7886.07 1.4945 6.26081 0.0182327
0.989687 0.214908 7886.01 1.48145 6.20999 0.00226899
0.992932 0.216192 7885.96 1.49924 6.17882 0.00604301
0.929455 0.28871 7888.67 0.00258706 307.848 0.00633607
0.0576004 0.232699 7976.61 0.851474 12.5436 0.00196162
0.956561 0.216635 7885.46 1.38708 6.80404 0.0356276
0.970906 0.225952 7886.09 1.06727 7.56413 0.00407691
0.984288 0.213302 7885.98 1.48975 6.33003 0.00235078
0.976981 0.21438 7886.05 1.45601 6.43874 0.00422299
0.952294 0.212983 7885.71 0.699239 10.8108 0.0299962
0.10083 0.222757 7869.24 0.349929 122.642 0.00497957
0.985521 0.215627 7886.01 1.49982 6.23927 0.00762183
0.134411 0.220126 7883.61 0.563081 114.454 0.0288022
0.742948 0.244237 7346.96 0.0985455 45.2481 0.012618
