2457059.88343 19.468 0.188 6.97 1349.0
2457060.87528 19.126 0.104 6.23 930.0
2457060.88922 18.992 0.102 5.44 1689.0
2457061.86950 19.118 0.076 5.28 883.0
2457061.88516 19.085 0.077 4.36 1322.0
2457062.86702 19.007 0.065 4.55 860.0
2457062.88267 19.121 0.074 4.11 1038.0
2457063.87374 18.912 0.065 5.18 857.0
2457064.87049 19.148 0.075 4.75 850.0
2457065.86235 19.101 0.073 5.13 839.0
2457066.85524 19.227 0.114 5.96 1086.0
2457069.83912 19.221 0.082 5.79 704.0
2457069.87837 18.880 0.053 4.53 704.0
2457070.85190 19.007 0.056 4.97 608.0
2457070.88977 19.220 0.066 4.27 719.0
2457071.86424 19.047 0.054 4.83 589.0
2457072.83403 19.005 0.066 5.53 678.0
2457072.87192 19.052 0.064 5.23 627.0
2457074.83743 18.874 0.089 7.64 713.0
2457074.84775 18.912 0.088 7.42 697.0
2457074.88794 19.100 0.072 5.52 704.0
2457075.82604 18.810 0.067 6.69 670.0
2457075.86518 19.110 0.076 6.23 635.0
2457076.82772 18.970 0.060 5.44 659.0
2457076.86576 19.004 0.049 4.26 610.0
2457077.82549 19.024 0.098 7.69 693.0
2457077.86311 19.008 0.071 5.93 637.0
2457078.83032 19.212 0.085 6.18 632.0
2457078.85407 19.131 0.064 5.02 604.0
2457078.89179 19.134 0.055 4.13 621.0
2457079.82757 19.299 0.125 7.36 709.0
2457080.82761 19.211 0.095 6.66 606.0
2457080.87945 19.131 0.062 5.19 524.0
2457081.88832 19.209 0.101 6.84 606.0
2457082.81665 19.096 0.069 5.94 630.0
2457082.85584 19.113 0.051 4.35 548.0
2457082.89530 19.107 0.064 5.11 606.0
2457083.83396 19.398 0.106 6.27 623.0
2457083.87796 19.207 0.074 5.17 573.0
2457084.82193 19.127 0.063 4.36 807.0
2457084.85823 19.045 0.059 4.59 667.0
2457084.90309 19.018 0.052 3.95 718.0
2457085.82687 18.951 0.057 4.32 919.0
2457085.87639 19.192 0.061 3.84 764.0
2457086.81171 19.030 0.071 4.65 983.0
2457086.84252 19.068 0.062 4.25 842.0
2457086.88729 19.043 0.057 4.04 764.0
2457087.81014 18.998 0.071 4.97 992.0
2457087.85478 19.192 0.078 4.58 851.0
2457087.89891 19.114 0.064 3.97 843.0
2457088.82560 19.112 0.057 3.73 759.0
2457088.87012 19.173 0.065 4.03 689.0
2457089.80183 19.155 0.082 5.11 833.0
2457089.83611 19.192 0.066 4.27 740.0
2457089.87998 19.143 0.072 4.86 728.0
2457090.79890 18.909 0.071 5.85 838.0
2457090.84541 19.090 0.060 4.39 725.0
2457090.88958 19.130 0.062 4.49 663.0
2457091.79839 19.057 0.068 4.92 824.0
2457091.84302 19.017 0.057 4.34 770.0
2457091.88806 19.163 0.067 4.58 703.0
2457092.78803 19.063 0.065 4.61 879.0
2457092.83409 19.066 0.059 4.36 752.0
2457092.87393 19.178 0.063 3.98 724.0
2457093.79260 19.037 0.060 4.45 734.0
2457093.86655 19.106 0.054 3.91 611.0
2457097.78363 19.080 0.056 4.53 609.0
2457097.82637 19.114 0.047 3.57 557.0
2457097.87034 19.076 0.043 3.69 517.0
2457098.79020 19.029 0.057 4.84 601.0
2457098.81989 19.174 0.057 4.20 569.0
2457098.87405 19.092 0.044 3.46 566.0
2457099.77820 19.051 0.056 5.00 559.0
2457099.81580 18.925 0.052 5.06 550.0
2457099.86374 19.053 0.055 4.94 540.0
2457100.79260 19.162 0.069 4.80 695.0
2457100.83841 19.119 0.056 4.09 629.0
2457100.88342 19.111 0.058 4.38 593.0
2457101.79179 18.990 0.108 7.50 868.0
2457101.84259 19.095 0.081 5.86 668.0
2457101.91160 19.089 0.095 6.11 960.0
2457102.87508 19.064 0.076 6.01 593.0
2457103.82944 19.152 0.046 3.48 883.0
2457104.81690 19.177 0.050 3.52 605.0
2457108.80374 19.429 0.109 5.93 648.0
2457108.85072 19.120 0.080 5.88 663.0
2457109.75565 19.221 0.083 6.17 578.0
2457109.80025 18.994 0.059 5.45 546.0
2457109.85476 19.118 0.066 5.24 566.0
2457109.90475 19.029 0.051 4.14 571.0
2457110.74178 19.155 0.060 4.96 602.0
2457110.79895 19.046 0.041 3.74 559.0
2457110.85407 19.130 0.055 4.30 593.0
2457110.91044 19.130 0.043 3.31 584.0
2457111.77485 19.036 0.054 4.40 592.0
2457111.82086 19.052 0.056 4.95 526.0
2457111.88505 19.021 0.048 4.42 528.0
2457112.74566 19.116 0.090 6.09 821.0
2457112.78242 19.226 0.083 5.01 746.0
2457112.83637 19.112 0.066 4.84 612.0
2457112.89305 19.073 0.043 3.40 595.0
2457113.73270 19.096 0.068 5.05 712.0
2457113.74713 18.956 0.056 4.93 668.0
2457113.76333 19.032 0.050 4.15 634.0
2457113.77787 18.987 0.044 3.76 609.0
2457113.79260 19.109 0.051 3.93 604.0
2457113.80723 19.098 0.049 3.87 604.0
2457113.82196 19.074 0.052 4.05 609.0
2457113.83679 19.092 0.051 3.92 601.0
2457113.86272 19.006 0.038 3.30 530.0
2457113.87739 19.131 0.046 3.66 543.0
2457113.89343 19.128 0.052 3.91 570.0
2457113.90920 19.069 0.045 3.45 605.0
2457113.92299 19.085 0.088 3.54 2149.0
2457114.73630 19.216 0.127 7.42 819.0
2457114.75922 19.239 0.083 5.31 746.0
2457114.77375 19.057 0.060 4.38 706.0
2457114.78847 19.085 0.063 4.47 705.0
2457114.80365 19.249 0.068 4.20 699.0
2457114.81832 19.106 0.059 4.06 670.0
2457114.84440 19.093 0.050 3.53 648.0
