OGLE-2017-BLG-0660

Field          BLG505.20
StarNo         94481
RA(J2000.0)    17:58:22.97
Dec(J2000.0)   -29:00:30.1
Remarks        

  Tmax   2457876.647     0.112
  tau         12.514     0.219
  umin         0.576     0.004
  Amax         1.945     0.011
  Dmag         0.722     0.001
  fbl          1.000     0.000
  I_bl        19.132     0.001
  I0          19.132     0.001
