#  DeltaF, Fb, t0, u0, tE, rho, Pb, mu_b, sig_b
# 
7.311950000000000394e-01 2.471039999999999903e-01 7.884399999999999636e+03 7.363439999999999985e-01 1.651450000000000173e+01 1.820009999999999944e-03 4.789280000000000204e-01 2.184909999999999908e-01 9.109399999999999442e-02
7.601970000000000116e-01 2.274349999999999983e-01 7.883920000000000073e+03 1.558350000000000013e-01 4.998709999999999809e+01 1.868850000000000025e-03 6.832409999999999872e-01 2.095370000000000010e-01 1.204780000000000018e-01
7.501799999999999580e-01 2.358470000000000011e-01 7.884829999999999927e+03 2.685029999999999917e-01 2.998849999999999838e+01 3.108720000000000146e-03 6.318369999999999820e-01 1.984839999999999938e-01 9.972159999999999358e-02
6.710920000000000218e-01 2.434790000000000010e-01 7.882949999999999818e+03 7.905600000000000405e-01 2.047670000000000101e+01 2.996389999999999817e-03 4.798760000000000248e-01 2.078760000000000052e-01 1.125000000000000028e-01
6.395279999999999854e-01 2.496539999999999870e-01 7.883130000000000109e+03 5.765130000000000532e-01 2.085910000000000153e+01 2.341349999999999855e-03 5.503029999999999866e-01 1.833950000000000025e-01 9.087349999999999595e-02
8.269300000000000539e-01 2.290040000000000131e-01 7.885100000000000364e+03 2.140090000000000048e-01 3.389139999999999731e+01 1.300189999999999896e-03 6.673449999999999660e-01 2.031010000000000038e-01 1.119350000000000067e-01
6.492419999999999858e-01 2.137759999999999938e-01 7.884489999999999782e+03 9.504550000000000498e-01 2.116049999999999898e+01 1.273910000000000060e-03 6.850279999999999703e-01 2.179220000000000046e-01 1.202229999999999965e-01
6.528500000000000414e-01 2.324700000000000100e-01 7.883500000000000000e+03 7.535349999999999548e-01 2.071300000000000097e+01 3.660309999999999953e-02 4.613940000000000263e-01 2.049159999999999870e-01 1.010609999999999981e-01
7.812949999999999617e-01 2.475350000000000050e-01 7.884800000000000182e+03 3.354829999999999757e-01 2.623880000000000123e+01 3.250139999999999973e-02 4.629519999999999746e-01 1.925189999999999957e-01 9.281929999999999348e-02
6.761509999999999465e-01 2.199270000000000114e-01 7.884560000000000400e+03 9.384919999999999929e-01 1.675110000000000099e+01 9.433920000000000153e-03 4.442079999999999917e-01 2.146220000000000072e-01 1.022789999999999949e-01
8.522640000000000216e-01 2.535120000000000151e-01 7.885340000000000146e+03 3.236649999999999805e-01 2.314829999999999899e+01 3.384809999999999815e-03 5.877959999999999852e-01 1.683999999999999941e-01 8.764810000000000656e-02
6.516699999999999715e-01 2.400909999999999989e-01 7.884289999999999964e+03 6.456579999999999542e-01 2.047500000000000142e+01 7.894749999999999858e-04 5.237049999999999761e-01 1.778409999999999991e-01 8.602110000000000312e-02
7.214159999999999462e-01 2.309440000000000104e-01 7.883880000000000109e+03 2.586330000000000018e-01 3.572939999999999827e+01 1.102780000000000080e-02 5.730340000000000433e-01 2.047339999999999993e-01 9.132769999999999777e-02
6.627539999999999543e-01 2.223179999999999878e-01 7.882670000000000073e+03 5.733169999999999655e-01 2.407809999999999917e+01 2.442259999999999917e-03 5.739109999999999490e-01 2.197220000000000006e-01 1.141419999999999935e-01
6.586640000000000272e-01 2.685670000000000002e-01 7.884810000000000400e+03 2.293429999999999913e-01 3.851449999999999818e+01 1.231080000000000065e-03 4.027290000000000036e-01 1.869699999999999973e-01 8.793769999999999365e-02
6.187669999999999559e-01 2.643260000000000054e-01 7.883239999999999782e+03 5.037000000000000366e-01 2.603549999999999898e+01 5.475149999999999809e-03 4.792000000000000148e-01 1.926249999999999907e-01 7.388469999999999760e-02
7.025989999999999736e-01 2.285010000000000097e-01 7.884859999999999673e+03 3.306830000000000047e-01 3.173270000000000124e+01 2.449749999999999844e-02 6.179660000000000153e-01 2.042309999999999959e-01 1.123500000000000054e-01
8.247060000000000501e-01 2.273139999999999883e-01 7.883579999999999927e+03 1.951019999999999976e-01 4.125800000000000267e+01 4.608160000000000034e-03 5.554620000000000113e-01 2.037380000000000024e-01 1.171650000000000053e-01
7.276110000000000078e-01 2.245769999999999988e-01 7.884130000000000109e+03 1.342629999999999935e-01 7.450830000000000553e+01 5.952780000000000397e-03 3.751349999999999962e-01 2.147390000000000132e-01 9.509009999999999685e-02
