# DeltaF, Fb, t0, u0, tE, rho
0.454854 0.214322 7892.74 1.49802 10.49 0.00146377
0.457721 0.212934 7892.6 1.49832 10.4984 0.00851574
0.45168 0.218818 7891.83 1.24361 12.6876 0.00636269
0.456517 0.217019 7893.2 1.18434 12.2995 0.000358708
0.492898 0.213 7893.17 1.3451 10.8823 0.00235272
0.429481 0.216738 7893.08 1.49713 11.0361 0.00173048
0.446602 0.21366 7893.66 1.11958 12.6283 0.0130485
0.455616 0.214305 7892.74 1.4935 10.5318 0.00538
0.448677 0.214404 7892.94 1.48428 10.7333 0.00188573
0.454166 0.214516 7892.79 1.49939 10.5237 0.0105842
0.451431 0.214392 7892.86 1.49719 10.5823 0.0107384
0.441313 0.214528 7892.89 1.23823 12.5523 0.0260115
0.453885 0.214599 7892.77 1.47981 10.6152 0.00580174
0.454845 0.215263 7893.04 1.45333 10.8671 0.000530956
0.453502 0.214403 7892.99 1.48449 10.5768 0.00935118
0.455381 0.214322 7892.68 1.49999 10.5157 0.0142632
0.451029 0.214192 7892.81 1.4975 10.6019 0.0042089
0.451953 0.214104 7892.85 1.49984 10.5661 0.00231126
0.45363 0.214973 7892.67 1.46151 10.8458 0.0626072
0.457285 0.214304 7892.6 1.48747 10.6722 0.0346856
0.451982 0.214125 7892.89 1.49944 10.552 4.81651e-05
0.451394 0.213552 7892.65 1.47284 10.8271 0.00385693
0.449601 0.214005 7893.09 1.49755 10.61 0.0519459
0.455009 0.213746 7892.75 1.49493 10.5643 0.00589446
0.452332 0.214022 7892.96 1.4904 10.5662 0.0282665
0.452219 0.214421 7892.95 1.47897 10.5925 0.0117001
0.453565 0.214161 7892.8 1.49684 10.55 0.000642839
0.453442 0.2142 7892.83 1.49925 10.5598 0.0381256
0.444015 0.216436 7893.06 1.41914 11.2584 0.00106509
0.452916 0.21446 7892.74 1.4952 10.5802 0.0197619
0.452135 0.214084 7892.76 1.48824 10.6496 0.00330246
0.453629 0.214477 7892.83 1.4969 10.5291 0.0350347
0.451301 0.214721 7892.83 1.49767 10.5993 0.0200264
0.454424 0.21412 7892.77 1.49907 10.5593 0.00399467
0.453328 0.214166 7892.79 1.49979 10.5677 0.00872351
0.427026 0.213641 7893.29 1.47782 10.922 0.00276362
0.452168 0.214155 7892.85 1.49954 10.5747 0.00521164
0.4521 0.214182 7892.73 1.49494 10.5672 0.00821983
0.452272 0.214212 7892.81 1.49967 10.5629 0.000182923
0.450511 0.214191 7892.81 1.49696 10.6419 0.00472047
0.452748 0.214091 7892.83 1.49939 10.5664 0.0272212
0.449717 0.214711 7892.81 1.48776 10.615 0.00151335
0.450286 0.214435 7892.81 1.49393 10.49 0.0333569
0.459648 0.211903 7892.78 1.3851 11.4565 0.000399584
0.450694 0.214726 7892.87 1.49936 10.5199 0.00855033
0.457477 0.213568 7892.69 1.49398 10.5947 0.00435193
0.45227 0.214207 7892.81 1.4999 10.5645 0.00573793
0.450369 0.214149 7892.9 1.45975 10.7166 0.00596311
0.455823 0.213893 7892.87 1.37587 11.1745 0.00755605
0.451928 0.214227 7892.83 1.49989 10.5759 0.000283298
0.452564 0.213707 7892.58 1.48694 10.532 0.0130134
0.4446 0.214857 7893.04 1.47968 10.7387 0.0106079
0.453033 0.212896 7892.62 1.47639 10.5428 0.00797716
0.450708 0.21486 7892.96 1.49551 10.6409 0.0359894
0.451947 0.214215 7892.84 1.49997 10.5696 0.00297143
0.450562 0.214589 7892.93 1.4977 10.596 0.0075485
0.037203 0.195209 7266.39 0.950497 34.9901 0.00377569
0.453377 0.214725 7892.79 1.4952 10.5421 0.00566673
0.469721 0.213162 7892.31 1.41453 10.9259 0.00226581
0.452947 0.214468 7892.76 1.49992 10.5621 0.0142989
0.452789 0.214208 7892.81 1.49985 10.5702 0.0106477
0.401425 0.221015 7407.51 0.172349 4.20395 0.0143583
0.452267 0.214233 7892.84 1.49997 10.5519 0.0334357
0.452721 0.214385 7892.97 1.48372 10.6412 0.0337387
0.455327 0.213987 7892.65 1.46816 10.7043 0.00163853
0.0589929 0.21371 7071.64 0.485197 320.97 0.0221907
0.452151 0.21422 7892.82 1.49961 10.5777 0.0023786
0.453122 0.214317 7892.86 1.49563 10.5398 0.00194519
0.452244 0.214214 7892.82 1.49998 10.5612 0.0078707
0.45232 0.21425 7892.83 1.49985 10.565 0.00331709
0.45342 0.214565 7892.77 1.49993 10.5643 0.0191977
0.451743 0.214168 7892.87 1.49963 10.5671 0.00735923
