#  DeltaF, Fb, t0, u0, tE, rho
# 
7.571219999999999617e-01 2.141010000000000135e-01 7.886090000000000146e+03 1.103599999999999914e+00 9.824120000000000630e+00 2.277280000000000016e-03
4.835639999999999938e-01 2.041310000000000069e-01 7.894949999999999818e+03 5.659899999999999931e-01 1.960660000000000025e+01 4.555859999999999771e-02
4.974219999999999753e-01 2.110279999999999934e-01 7.891529999999999745e+03 1.307539999999999925e+00 1.155499999999999972e+01 1.938519999999999827e-02
7.396200000000000552e-01 2.205509999999999970e-01 7.888710000000000036e+03 3.110450000000000159e-01 1.795169999999999888e+01 1.940230000000000080e-02
4.237799999999999900e-01 2.240729999999999944e-01 7.895159999999999854e+03 1.339930000000000065e+00 1.124840000000000018e+01 3.111409999999999784e-03
4.765460000000000251e-01 2.180970000000000131e-01 7.893159999999999854e+03 7.723780000000000090e-01 1.517440000000000033e+01 1.153020000000000087e-02
9.667529999999999735e-01 2.183559999999999945e-01 7.885479999999999563e+03 9.814399999999999791e-01 8.429360000000000852e+00 1.853580000000000158e-02
9.441979999999999817e-01 2.260359999999999869e-01 7.885640000000000327e+03 6.577370000000000161e-01 1.117559999999999931e+01 1.163830000000000073e-02
3.868630000000000124e-01 2.185469999999999913e-01 7.892710000000000036e+03 8.734100000000000197e-01 1.752540000000000120e+01 5.616809999999999858e-03
4.932940000000000103e-01 2.087670000000000081e-01 7.893420000000000073e+03 9.702370000000000161e-01 1.374939999999999962e+01 6.790700000000000425e-04
5.152919999999999723e-01 2.181009999999999893e-01 7.890479999999999563e+03 1.492329999999999934e+00 9.582340000000000302e+00 1.154049999999999971e-04
8.247430000000000039e-01 2.128480000000000094e-01 7.885600000000000364e+03 8.039640000000000120e-01 1.101350000000000051e+01 2.398259999999999975e-02
4.929200000000000248e-01 2.151260000000000117e-01 7.892439999999999600e+03 1.151299999999999990e+00 1.253539999999999921e+01 6.694000000000000297e-03
6.387129999999999752e-01 2.125360000000000027e-01 7.890659999999999854e+03 9.898200000000000331e-01 1.284580000000000055e+01 1.649070000000000093e-03
8.578059999999999574e-01 2.146730000000000027e-01 7.885449999999999818e+03 4.592370000000000063e-01 1.468679999999999986e+01 1.973530000000000076e-02
9.182860000000000467e-01 2.236229999999999885e-01 7.886609999999999673e+03 1.194169999999999954e+00 9.780089999999999506e+00 6.068500000000000283e-02
3.772440000000000238e-01 2.200409999999999866e-01 7.894359999999999673e+03 6.358270000000000310e-01 1.868830000000000169e+01 4.084580000000000155e-02
4.897090000000000054e-01 2.115940000000000043e-01 7.893539999999999964e+03 8.233080000000000398e-01 1.307709999999999972e+01 2.107769999999999913e-04
4.774030000000000218e-01 2.091560000000000086e-01 7.892159999999999854e+03 1.216220000000000079e+00 1.283639999999999937e+01 2.216049999999999964e-02
4.331349999999999922e-01 2.183819999999999928e-01 7.892390000000000327e+03 1.204839999999999911e+00 1.060369999999999990e+01 3.827440000000000204e-04
4.738910000000000067e-01 2.217830000000000079e-01 7.889520000000000437e+03 9.629710000000000214e-01 1.422669999999999924e+01 7.357859999999999921e-03
