2457069.87628 18.640 0.035 4.79 394.0
2457074.88664 18.604 0.038 6.01 375.0
2457075.86271 18.639 0.036 6.29 331.0
2457078.86521 18.638 0.031 4.96 313.0
2457082.86705 18.580 0.026 4.60 269.0
2457086.89543 18.580 0.032 4.16 475.0
2457090.82554 18.652 0.039 4.92 471.0
2457097.89470 18.650 0.023 3.12 262.0
2457100.87989 18.614 0.028 4.19 311.0
2457110.80722 18.677 0.027 4.30 308.0
2457112.91819 18.693 0.036 4.35 502.0
2457115.73226 18.568 0.039 5.46 491.0
2457117.71417 18.684 0.055 6.02 757.0
2457119.77642 18.654 0.042 5.00 588.0
2457126.87745 18.597 0.027 3.81 371.0
2457130.77798 18.647 0.029 4.59 247.0
2457132.68558 18.652 0.057 8.14 411.0
2457134.75753 18.630 0.033 5.18 297.0
2457135.91579 18.632 0.025 3.54 297.0
2457137.76039 18.633 0.023 3.55 249.0
2457138.88771 18.615 0.029 4.08 332.0
2457140.74357 18.585 0.031 4.53 382.0
2457141.87687 18.675 0.029 3.63 372.0
2457143.69872 18.671 0.043 5.86 382.0
2457144.82729 18.609 0.053 7.08 464.0
2457146.71794 18.668 0.039 3.89 758.0
2457147.73765 18.654 0.045 4.72 757.0
2457152.89580 18.629 0.039 5.25 520.0
2457154.65407 18.644 0.027 4.75 266.0
2457155.72946 18.686 0.027 3.80 296.0
2457157.61898 18.599 0.033 5.33 335.0
2457158.75690 18.672 0.030 4.68 291.0
2457159.82499 18.636 0.027 3.93 302.0
2457160.89555 18.682 0.031 4.61 352.0
2457162.61936 18.646 0.037 5.63 306.0
2457163.67336 18.596 0.040 6.10 344.0
2457164.81664 18.612 0.029 4.58 293.0
2457166.60329 18.500 0.041 6.78 383.0
2457166.78686 18.663 0.032 4.70 312.0
2457168.70497 18.643 0.038 6.38 272.0
2457169.69279 18.656 0.026 4.02 267.0
2457169.88758 18.641 0.032 5.34 309.0
2457170.67980 18.657 0.028 4.11 300.0
2457170.86932 18.690 0.033 4.53 352.0
2457172.68208 18.661 0.033 3.85 458.0
2457172.87292 18.644 0.040 5.85 364.0
2457173.65890 18.685 0.042 4.99 558.0
2457173.85460 18.551 0.035 4.57 631.0
2457174.62352 18.630 0.043 4.81 699.0
